PW-Taxon	PW-SizeClass	PEG-Taxon	PEG-SizeClass	PW-Taxon att behålla trots ej i PEG	PW-sizeClass att beh
Acanthoica quattrospina	1	Acanthoica quattrospina	1		
Acanthoica quattrospina	32	Acanthoica quattrospina			
Acanthoica quattrospina	33	Acanthoica quattrospina			
Achroonema lentum	1	Achroonema lentum	1		
Achroonema lentum	32	Achroonema lentum			
Achroonema proteiforme	1	Achroonema proteiforme	1		
Achroonema proteiforme	32	Achroonema proteiforme			
Actinastrum hantzschii	1	Actinastrum hantzschii	1		
Actinastrum hantzschii	2	Actinastrum hantzschii	2		
Actinastrum hantzschii	3	Actinastrum hantzschii	3		
Actinastrum hantzschii	32	Actinastrum hantzschii			
Actiniscus pentasterias	1	Actiniscus pentasterias	1		
Actiniscus pentasterias	32	Actiniscus pentasterias			
Actinocyclus normanii forma normanii	1	Actinocyclus normanii f. normanii	1		
Actinocyclus normanii forma normanii	2	Actinocyclus normanii f. normanii	2		
Actinocyclus normanii forma normanii	3	Actinocyclus normanii f. normanii	3		
Actinocyclus normanii forma normanii	4	Actinocyclus normanii f. normanii	4		
Actinocyclus normanii forma normanii	5	Actinocyclus normanii f. normanii	5		
Actinocyclus normanii forma normanii	6	Actinocyclus normanii f. normanii	6		
Actinocyclus normanii forma normanii	32	Actinocyclus normanii f. normanii			
Actinocyclus normanii forma subsalsus	1	Actinocyclus normanii f. subsalsus	1		
Actinocyclus normanii forma subsalsus	2	Actinocyclus normanii f. subsalsus	2		
Actinocyclus normanii forma subsalsus	3	Actinocyclus normanii f. subsalsus	3		
Actinocyclus normanii forma subsalsus	4	Actinocyclus normanii f. subsalsus	4		
Actinocyclus normanii forma subsalsus	5	Actinocyclus normanii f. subsalsus	5		
Actinocyclus normanii forma subsalsus	6	Actinocyclus normanii f. subsalsus	6		
Actinocyclus normanii forma subsalsus	32	Actinocyclus normanii f. subsalsus			
Actinocyclus octonarius var. crassus	1	Actinocyclus octonarius var. crassus	1		
Actinocyclus octonarius var. crassus	2	Actinocyclus octonarius var. crassus	2		
Actinocyclus octonarius var. crassus	3	Actinocyclus octonarius var. crassus	3		
Actinocyclus octonarius var. crassus	4	Actinocyclus octonarius var. crassus	4		
Actinocyclus octonarius var. crassus	5	Actinocyclus octonarius var. crassus	5		
Actinocyclus octonarius var. crassus	6	Actinocyclus octonarius var. crassus	6		
Actinocyclus octonarius var. crassus	7	Actinocyclus octonarius var. crassus	7		
Actinocyclus octonarius var. crassus	32	Actinocyclus octonarius var. crassus			
Akashiwo sanguinea	1	Akashiwo sanguinea	1		
Akashiwo sanguinea	2	Akashiwo sanguinea	2		
Akashiwo sanguinea	3	Akashiwo sanguinea	3		
Akashiwo sanguinea	4	Akashiwo sanguinea	4		
Akashiwo sanguinea	32	Akashiwo sanguinea			
Alexandrium minutum	1	Alexandrium minutum	1		
Alexandrium minutum	2	Alexandrium minutum	2		
Alexandrium minutum	32	Alexandrium minutum			
Alexandrium ostenfeldii	1	Alexandrium ostenfeldii	2		
Alexandrium ostenfeldii	32	Alexandrium ostenfeldii			
Alexandrium pseudogonyaulax	0	Alexandrium pseudogonyaulax			
Alexandrium pseudogonyaulax	1	Alexandrium pseudogonyaulax	1		
Alexandrium pseudogonyaulax	32	Alexandrium pseudogonyaulax			
Alexandrium spp	1	Alexandrium	1		
Alexandrium spp	2	Alexandrium	2		
Alexandrium spp	3	Alexandrium	3		
Alexandrium spp	32	Alexandrium			
Alexandrium tamarense	1	Alexandrium tamarense	1		
Alexandrium tamarense	2	Alexandrium tamarense	2		
Alexandrium tamarense	3	Alexandrium tamarense	3		
Alexandrium tamarense	32	Alexandrium tamarense			
Alexandrium/Fragilidium spp	32		no size		
Amoeba spp_naked	32				
Amphidinium acutissimum	1	Amphidinium acutissimum			
Amphidinium acutissimum	32	Amphidinium acutissimum			
Amphidinium crassum	1	Amphidinium crassum	1		
Amphidinium crassum	2	Amphidinium crassum	2		
Amphidinium crassum	32	Amphidinium crassum			
Amphidinium incoloratum	1	Amphidinium incoloratum			
Amphidinium incoloratum	32	Amphidinium incoloratum			
Amphidinium operculatum	1	Amphidinium operculatum			
Amphidinium operculatum	32	Amphidinium operculatum			
Amphidinium pellucidum	1	Amphidinium pellucidum	1		
Amphidinium pellucidum	32	Amphidinium pellucidum			
Amphidinium sp.A	0	Amphidinium			
Amphidinium sphenoides	1	Amphidinium sphenoides	1		
Amphidinium sphenoides	2	Amphidinium sphenoides	2		
Amphidinium sphenoides	3	Amphidinium sphenoides	3		
Amphidinium sphenoides	32	Amphidinium sphenoides			
Amphidinium spp	1	Amphidinium	1		
Amphidinium spp	2	Amphidinium	2		
Amphidinium spp	3	Amphidinium	3		
Amphidinium spp	4	Amphidinium	4		
Amphidinium spp	5	Amphidinium	5		
Amphidinium spp	6	Amphidinium	6		
Amphidinium spp	7	Amphidinium	7		
Amphidinium spp	8	Amphidinium	8		
Amphidinium spp	32	Amphidinium			
Amphiprora paludosa var. paludosa	1	Amphiprora paludosa var. paludosa	1		
Amphiprora paludosa var. paludosa	2	Amphiprora paludosa var. paludosa	2		
Amphiprora paludosa var. paludosa	32	Amphiprora paludosa var. paludosa			
Amphora commutata	1	Amphora commutata	1		
Amphora commutata	32	Amphora commutata			
Amphora ovalis	1	Amphora ovalis	1		
Amphora ovalis	32	Amphora ovalis			
Amylax triacantha	1	Amylax triacantha	1		
Amylax triacantha	2	Amylax triacantha	2		
Amylax triacantha	3	Amylax triacantha	3		
Amylax triacantha	4	Amylax triacantha	4		
Amylax triacantha	32	Amylax triacantha			
Anabaena affinis	1	Anabaena affinis	1		
Anabaena affinis	32	Anabaena affinis			
Anabaena circinalis	1	Anabaena circinalis	1		
Anabaena circinalis	32	Anabaena circinalis			
Anabaena crassa	1	Anabaena crassa	1		
Anabaena crassa	32	Anabaena crassa			
Anabaena inaequalis	1	Anabaena inaequalis	1		
Anabaena inaequalis	2	Anabaena inaequalis	2		
Anabaena inaequalis	32	Anabaena inaequalis			
Anabaena macrospora	1	Anabaena macrospora	1		
Anabaena macrospora	32	Anabaena macrospora			
Anabaena oscillarioides	1	Anabaena oscillarioides	1		
Anabaena oscillarioides	32	Anabaena oscillarioides			
Anabaena planctonica	1	Anabaena planctonica	1		
Anabaena planctonica	2	Anabaena planctonica	2		
Anabaena planctonica	32	Anabaena planctonica			
Anabaena smithii	1	Anabaena smithii	1		
Anabaena smithii	32	Anabaena smithii			
Anabaena spiroides	1	Anabaena spiroides	1		
